created,text
2021-12-05 6:32:47,"RT @ApnaNewsAayega: #FriendsForever
#Surprise

May the Almighty always save this beautiful bond #Aurrisht share with each other 🤍

#Beautif…"
2021-12-05 6:32:44,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:32:43,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:32:42,"RT @kdrama_baragi: Yihyun is already infected, so the zombie runs only to Saebom. OMG WHAT????😱

#HappinessEp10 #Happiness

 https://t.co/w…"
2021-12-05 6:32:42,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:32:38,RT @kdramatreats: I'm so obsessed with Hyungsik and Hyojoo's chemistry and knowing that #Happiness is both their comeback drama makes me so…
2021-12-05 6:32:29,its not building infested with ‘mad person disease’ more like infested with people that makes YOU MAD disease 😭… https://t.co/gLCEMLErIg
2021-12-05 6:32:26,RT @kdramassential: im sorry but im too attached to this drama #Happiness #HappinessEp10 https://t.co/zQXnBSr4V2
2021-12-05 6:32:23,"RT @garaseun: “i thought about it.. and i feel like your wound is healing too quickly and you’re not drinking water.” she knows

#Happiness…"
2021-12-05 6:32:22,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:32:14,"RT @LoveDramaPH: omg. Happiness is just getting better and better each episode! It's so thrilling! can't wait for the next episodes. 

#Hap…"
2021-12-05 6:32:11,"RT @garaseun: “put the gun down” THIS WAS SO HOT OF HIM WHAT A DILF HE IS.

#Happiness #HappinessEp10 https://t.co/nc5LKwt5hh"
2021-12-05 6:32:05,"RT @kdrama_baragi: Andrew stabs the police ajhussi in front of Seoyoon and then calmly continues Jenga PSYCHO 

#HappinessEp10 #Happiness…"
2021-12-05 6:32:02,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:32:00,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:32:00,"RT @PorrasMaricris: Such a kindhearted Man...

#HappinessEp10
#Happiness"
2021-12-05 6:31:59,"RT @sikcrets: a moment of silence and prayer for our king of apocalypse, kim sehoon. it’s ironic how he got everything prepared to survive…"
2021-12-05 6:31:55,"RT @kdrama_baragi: Yihyun is already infected, so the zombie runs only to Saebom. OMG WHAT????😱

#HappinessEp10 #Happiness

 https://t.co/w…"
2021-12-05 6:31:48,"RT @hiychingu: to saebom’s unexpected first friend in the apartment. it must’ve been not easy to live alone. tbh, you were brave &amp; practica…"
2021-12-05 6:31:44,RT @kdramatreats: I'm so obsessed with Hyungsik and Hyojoo's chemistry and knowing that #Happiness is both their comeback drama makes me so…
2021-12-05 6:31:37,"RT @kimyoungdaes: #Happiness #HappinessEp10

he's in pain and             she knows but
didn't want to                chose to trust
hurt h…"
2021-12-05 6:31:35,"RT @hyojoosource: 🎥 tvN released #Happiness behind the scenes filming for episode 9 &amp; 10

🔗: https://t.co/Zst4QebqUb
https://t.co/jqSossvdNI"
2021-12-05 6:31:34,"RT @sikcrets: a moment of silence and prayer for our king of apocalypse, kim sehoon. it’s ironic how he got everything prepared to survive…"
2021-12-05 6:31:32,"RT @kimyoungdaes: two eps left and i am definitely not ready to say goodbye to them 🥲🥲🥲💔

#Happiness #HappinessEp10 https://t.co/mfOeFQC4qI"
